STT,Mã Đơn Hàng,ID cửa hàng,Tên cửa hàng,Thời gian hoàn thành/ huỷ đơn,Giá trị đơn hàng,Khuyến mại từ quán,Phí dịch vụ,Phí vận chuyển trả cho quán,Chiết khấu,Thuế khấu trừ,Thực thu
1803,10125-472081766,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 13:27,"51,000","11,000",0,0,"9,820",0,"30,180"
1804,10125-472161175,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 13:21,"58,000","11,000",0,0,"11,539",0,"35,462"
1805,10125-472259848,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 13:21,"94,000","15,000",0,0,"19,395",0,"59,606"
1806,10125-472480449,10230814,Cà Phê Muối Chú Long - Võ Văn Kiệt,10/12/2025 13:25,"167,000","48,000",0,0,"29,215",0,"89,786"
1807,10125-472730211,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 13:22,"29,000","5,000",0,0,"5,892",0,"18,108"
1808,10125-472922544,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 13:19,"87,000","15,000",0,0,"17,676",0,"54,324"
1809,10125-473140784,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 13:28,"117,000","20,000",0,0,"23,814",0,"73,187"
1810,10125-473798468,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 13:16,"51,000","11,000",0,0,"9,820",0,"30,180"
1811,10125-473834123,10269971,Cà Phê Muối Chú Long - Cần Thơ,10/12/2025 13:32,"166,000","48,000",0,0,"28,969",0,"89,031"
1812,10125-473865957,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 13:28,"44,000","13,200",0,0,"7,561",0,"23,239"
1813,10125-474068715,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 13:28,"58,000","11,000",0,0,"11,539",0,"35,462"
1814,10125-474096697,10232123,Cà Phê Muối Chú Long - 17A Ngô Tất Tố,10/12/2025 13:34,"164,000","48,000",0,0,"28,478",0,"87,522"
1815,10125-474221853,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 13:25,"225,000","48,000",0,0,"43,454",0,"133,547"
1816,10125-474336206,10216423,Cà Phê Muối Chú Long - 417 Cộng Hoà,10/12/2025 13:29,"116,000","20,000",0,0,"23,568",0,"72,432"
1817,10125-474739794,10235659,Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,10/12/2025 13:25,"58,000","11,000",0,0,"11,539",0,"35,462"
1818,10125-474796226,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 14:08,"75,000","15,000",0,0,"14,730",0,"45,270"
1819,10125-474823150,10321524,Cà Phê Muối Chú Long - Đội Cấn,10/12/2025 13:29,"54,000","11,000",0,0,"10,557",0,"32,444"
1820,10125-474889963,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 13:37,"146,000","26,000",0,0,"29,460",0,"90,540"
